n_categories	svm_lin_tfidf_train_max	svm_lin_tfidf_train_avg	svm_lin_tfidf_train_min	svm_lin_tfidf_test_max	svm_lin_tfidf_test_avg	svm_lin_tfidf_test_min	svm_lin_tfidf_w2v_train_max	svm_lin_tfidf_w2v_train_avg	svm_lin_tfidf_w2v_train_min	svm_lin_tfidf_w2v_test_max	svm_lin_tfidf_w2v_test_avg	svm_lin_tfidf_w2v_test_min	svm_lin_tfidf_w2v_c_train_max	svm_lin_tfidf_w2v_c_train_avg	svm_lin_tfidf_w2v_c_train_min	svm_lin_tfidf_w2v_c_test_max	svm_lin_tfidf_w2v_c_test_avg	svm_lin_tfidf_w2v_c_test_min	svm_rbf_tfidf_train_max	svm_rbf_tfidf_train_avg	svm_rbf_tfidf_train_min	svm_rbf_tfidf_test_max	svm_rbf_tfidf_test_avg	svm_rbf_tfidf_test_min	svm_rbf_tfidf_w2v_train_max	svm_rbf_tfidf_w2v_train_avg	svm_rbf_tfidf_w2v_train_min	svm_rbf_tfidf_w2v_test_max	svm_rbf_tfidf_w2v_test_avg	svm_rbf_tfidf_w2v_test_min	svm_rbf_tfidf_w2v_c_train_max	svm_rbf_tfidf_w2v_c_train_avg	svm_rbf_tfidf_w2v_c_train_min	svm_rbf_tfidf_w2v_c_test_max	svm_rbf_tfidf_w2v_c_test_avg	svm_rbf_tfidf_w2v_c_test_min	knn_tfidf_train_max	knn_tfidf_train_avg	knn_tfidf_train_min	knn_tfidf_test_max	knn_tfidf_test_avg	knn_tfidf_test_min	knn_tfidf_w2v_train_max	knn_tfidf_w2v_train_avg	knn_tfidf_w2v_train_min	knn_tfidf_w2v_test_max	knn_tfidf_w2v_test_avg	knn_tfidf_w2v_test_min	knn_tfidf_w2v_c_train_max	knn_tfidf_w2v_c_train_avg	knn_tfidf_w2v_c_train_min	knn_tfidf_w2v_c_test_max	knn_tfidf_w2v_c_test_avg	knn_tfidf_w2v_c_test_min	rfc_tfidf_train_max	rfc_tfidf_train_avg	rfc_tfidf_train_min	rfc_tfidf_test_max	rfc_tfidf_test_avg	rfc_tfidf_test_min	rfc_tfidf_w2v_train_max	rfc_tfidf_w2v_train_avg	rfc_tfidf_w2v_train_min	rfc_tfidf_w2v_test_max	rfc_tfidf_w2v_test_avg	rfc_tfidf_w2v_test_min	rfc_tfidf_w2v_c_train_max	rfc_tfidf_w2v_c_train_avg	rfc_tfidf_w2v_c_train_min	rfc_tfidf_w2v_c_test_max	rfc_tfidf_w2v_c_test_avg	rfc_tfidf_w2v_c_test_min	mlp_relu_tfidf_train_max	mlp_relu_tfidf_train_avg	mlp_relu_tfidf_train_min	mlp_relu_tfidf_test_max	mlp_relu_tfidf_test_avg	mlp_relu_tfidf_test_min	mlp_relu_tfidf_w2v_train_max	mlp_relu_tfidf_w2v_train_avg	mlp_relu_tfidf_w2v_train_min	mlp_relu_tfidf_w2v_test_max	mlp_relu_tfidf_w2v_test_avg	mlp_relu_tfidf_w2v_test_min	mlp_relu_tfidf_w2v_c_train_max	mlp_relu_tfidf_w2v_c_train_avg	mlp_relu_tfidf_w2v_c_train_min	mlp_relu_tfidf_w2v_c_test_max	mlp_relu_tfidf_w2v_c_test_avg	mlp_relu_tfidf_w2v_c_test_min	mlp_logistic_tfidf_train_max	mlp_logistic_tfidf_train_avg	mlp_logistic_tfidf_train_min	mlp_logistic_tfidf_test_max	mlp_logistic_tfidf_test_avg	mlp_logistic_tfidf_test_min	mlp_logistic_tfidf_w2v_train_max	mlp_logistic_tfidf_w2v_train_avg	mlp_logistic_tfidf_w2v_train_min	mlp_logistic_tfidf_w2v_test_max	mlp_logistic_tfidf_w2v_test_avg	mlp_logistic_tfidf_w2v_test_min	mlp_logistic_tfidf_w2v_c_train_max	mlp_logistic_tfidf_w2v_c_train_avg	mlp_logistic_tfidf_w2v_c_train_min	mlp_logistic_tfidf_w2v_c_test_max	mlp_logistic_tfidf_w2v_c_test_avg	mlp_logistic_tfidf_w2v_c_test_min	mlp_tanh_tfidf_train_max	mlp_tanh_tfidf_train_avg	mlp_tanh_tfidf_train_min	mlp_tanh_tfidf_test_max	mlp_tanh_tfidf_test_avg	mlp_tanh_tfidf_test_min	mlp_tanh_tfidf_w2v_train_max	mlp_tanh_tfidf_w2v_train_avg	mlp_tanh_tfidf_w2v_train_min	mlp_tanh_tfidf_w2v_test_max	mlp_tanh_tfidf_w2v_test_avg	mlp_tanh_tfidf_w2v_test_min	mlp_tanh_tfidf_w2v_c_train_max	mlp_tanh_tfidf_w2v_c_train_avg	mlp_tanh_tfidf_w2v_c_train_min	mlp_tanh_tfidf_w2v_c_test_max	mlp_tanh_tfidf_w2v_c_test_avg	mlp_tanh_tfidf_w2v_c_test_min
2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.57142857142858	98.57142857142858	98.57142857142858	100.0	100.0	100.0	98.57142857142858	98.57142857142858	98.57142857142858	100.0	100.0	100.0	95.71428571428572	95.71428571428572	95.71428571428572	100.0	100.0	100.0	97.14285714285714	97.14285714285714	97.14285714285714	100.0	100.0	100.0	97.14285714285714	97.14285714285714	97.14285714285714	95.70552147239265	95.70552147239265	95.70552147239265	95.71428571428572	95.71428571428572	95.71428571428572	98.77300613496932	98.77300613496932	98.77300613496932	97.14285714285714	97.14285714285714	97.14285714285714	98.77300613496932	98.77300613496932	98.77300613496932	97.14285714285714	97.14285714285714	97.14285714285714	100.0	100.0	100.0	98.57142857142858	98.57142857142858	98.57142857142858	100.0	100.0	100.0	95.71428571428572	95.71428571428572	95.71428571428572	100.0	100.0	100.0	95.71428571428572	95.71428571428572	95.71428571428572	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.57142857142858	98.57142857142858	98.57142857142858	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.71428571428572	95.71428571428572	95.71428571428572	100.0	100.0	100.0	98.57142857142858	98.57142857142858	98.57142857142858	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.14285714285714	97.14285714285714	97.14285714285714	100.0	100.0	100.0	98.57142857142858	98.57142857142858	98.57142857142858	100.0	100.0	100.0	100.0	100.0	100.0
3	100.0	100.0	100.0	97.26027397260275	97.26027397260275	97.26027397260275	100.0	100.0	100.0	95.8904109589041	95.8904109589041	95.8904109589041	100.0	100.0	100.0	95.8904109589041	95.8904109589041	95.8904109589041	100.0	100.0	100.0	94.52054794520548	94.52054794520548	94.52054794520548	98.80952380952381	98.80952380952381	98.80952380952381	91.78082191780823	91.78082191780823	91.78082191780823	98.80952380952381	98.80952380952381	98.80952380952381	91.78082191780823	91.78082191780823	91.78082191780823	93.45238095238095	93.45238095238095	93.45238095238095	94.52054794520548	94.52054794520548	94.52054794520548	95.23809523809523	95.23809523809523	95.23809523809523	89.04109589041096	89.04109589041096	89.04109589041096	95.83333333333334	95.83333333333334	95.83333333333334	89.04109589041096	89.04109589041096	89.04109589041096	100.0	100.0	100.0	94.52054794520548	94.52054794520548	94.52054794520548	100.0	100.0	100.0	87.67123287671232	87.67123287671232	87.67123287671232	100.0	100.0	100.0	90.41095890410958	90.41095890410958	90.41095890410958	100.0	100.0	100.0	95.8904109589041	95.8904109589041	95.8904109589041	100.0	100.0	100.0	95.8904109589041	95.8904109589041	95.8904109589041	100.0	100.0	100.0	97.26027397260275	97.26027397260275	97.26027397260275	100.0	100.0	100.0	91.78082191780823	91.78082191780823	91.78082191780823	100.0	100.0	100.0	95.8904109589041	95.8904109589041	95.8904109589041	100.0	100.0	100.0	95.8904109589041	95.8904109589041	95.8904109589041	100.0	100.0	100.0	93.15068493150685	93.15068493150685	93.15068493150685	100.0	100.0	100.0	95.8904109589041	95.8904109589041	95.8904109589041	100.0	100.0	100.0	97.26027397260275	97.26027397260275	97.26027397260275
4	91.8103448275862	91.8103448275862	91.8103448275862	73.0	73.0	73.0	91.8103448275862	91.8103448275862	91.8103448275862	70.0	70.0	70.0	91.8103448275862	91.8103448275862	91.8103448275862	71.0	71.0	71.0	91.8103448275862	91.8103448275862	91.8103448275862	65.0	65.0	65.0	85.34482758620689	85.34482758620689	85.34482758620689	81.0	81.0	81.0	85.77586206896551	85.77586206896551	85.77586206896551	80.0	80.0	80.0	82.32758620689656	82.32758620689656	82.32758620689656	72.0	72.0	72.0	83.62068965517241	83.62068965517241	83.62068965517241	73.0	73.0	73.0	83.1896551724138	83.1896551724138	83.1896551724138	72.0	72.0	72.0	91.8103448275862	91.8103448275862	91.8103448275862	73.0	73.0	73.0	91.8103448275862	91.8103448275862	91.8103448275862	72.0	72.0	72.0	91.8103448275862	91.8103448275862	91.8103448275862	71.0	71.0	71.0	91.8103448275862	91.8103448275862	91.8103448275862	72.0	72.0	72.0	91.8103448275862	91.8103448275862	91.8103448275862	73.0	73.0	73.0	91.8103448275862	91.8103448275862	91.8103448275862	72.0	72.0	72.0	91.8103448275862	91.8103448275862	91.8103448275862	68.0	68.0	68.0	90.94827586206897	90.94827586206897	90.94827586206897	76.0	76.0	76.0	91.8103448275862	91.8103448275862	91.8103448275862	73.0	73.0	73.0	91.8103448275862	91.8103448275862	91.8103448275862	68.0	68.0	68.0	91.8103448275862	91.8103448275862	91.8103448275862	74.0	74.0	74.0	91.8103448275862	91.8103448275862	91.8103448275862	73.0	73.0	73.0
5	91.9558359621451	91.9558359621451	91.9558359621451	74.63235294117648	74.63235294117648	74.63235294117648	92.90220820189275	92.90220820189275	92.90220820189275	72.42647058823529	72.42647058823529	72.42647058823529	92.90220820189275	92.90220820189275	92.90220820189275	73.16176470588235	73.16176470588235	73.16176470588235	92.42902208201893	92.42902208201893	92.42902208201893	67.64705882352942	67.64705882352942	67.64705882352942	85.64668769716089	85.64668769716089	85.64668769716089	75.36764705882352	75.36764705882352	75.36764705882352	85.8044164037855	85.8044164037855	85.8044164037855	75.36764705882352	75.36764705882352	75.36764705882352	82.64984227129337	82.64984227129337	82.64984227129337	74.26470588235294	74.26470588235294	74.26470588235294	83.4384858044164	83.4384858044164	83.4384858044164	73.89705882352942	73.89705882352942	73.89705882352942	82.96529968454259	82.96529968454259	82.96529968454259	74.63235294117648	74.63235294117648	74.63235294117648	93.05993690851734	93.05993690851734	93.05993690851734	68.38235294117648	68.38235294117648	68.38235294117648	93.05993690851734	93.05993690851734	93.05993690851734	68.01470588235294	68.01470588235294	68.01470588235294	93.05993690851734	93.05993690851734	93.05993690851734	66.91176470588235	66.91176470588235	66.91176470588235	93.05993690851734	93.05993690851734	93.05993690851734	72.79411764705883	72.79411764705883	72.79411764705883	93.05993690851734	93.05993690851734	93.05993690851734	70.22058823529412	70.22058823529412	70.22058823529412	93.05993690851734	93.05993690851734	93.05993690851734	74.63235294117648	74.63235294117648	74.63235294117648	93.05993690851734	93.05993690851734	93.05993690851734	73.16176470588235	73.16176470588235	73.16176470588235	92.42902208201893	92.42902208201893	92.42902208201893	70.22058823529412	70.22058823529412	70.22058823529412	93.05993690851734	93.05993690851734	93.05993690851734	71.69117647058823	71.69117647058823	71.69117647058823	93.05993690851734	93.05993690851734	93.05993690851734	73.16176470588235	73.16176470588235	73.16176470588235	92.74447949526814	92.74447949526814	92.74447949526814	70.22058823529412	70.22058823529412	70.22058823529412	92.58675078864354	92.58675078864354	92.58675078864354	75.0	75.0	75.0
6	100.0	100.0	100.0	95.3125	95.3125	95.3125	100.0	100.0	100.0	95.83333333333334	95.83333333333334	95.83333333333334	100.0	100.0	100.0	95.83333333333334	95.83333333333334	95.83333333333334	100.0	100.0	100.0	88.54166666666666	88.54166666666666	88.54166666666666	99.55257270693512	99.55257270693512	99.55257270693512	94.79166666666666	94.79166666666666	94.79166666666666	99.77628635346755	99.77628635346755	99.77628635346755	94.79166666666666	94.79166666666666	94.79166666666666	98.2102908277405	98.2102908277405	98.2102908277405	95.3125	95.3125	95.3125	97.98657718120806	97.98657718120806	97.98657718120806	90.625	90.625	90.625	98.2102908277405	98.2102908277405	98.2102908277405	91.14583333333334	91.14583333333334	91.14583333333334	100.0	100.0	100.0	90.10416666666666	90.10416666666666	90.10416666666666	100.0	100.0	100.0	89.0625	89.0625	89.0625	100.0	100.0	100.0	90.10416666666666	90.10416666666666	90.10416666666666	100.0	100.0	100.0	95.83333333333334	95.83333333333334	95.83333333333334	100.0	100.0	100.0	96.35416666666666	96.35416666666666	96.35416666666666	100.0	100.0	100.0	96.35416666666666	96.35416666666666	96.35416666666666	100.0	100.0	100.0	96.35416666666666	96.35416666666666	96.35416666666666	100.0	100.0	100.0	95.3125	95.3125	95.3125	100.0	100.0	100.0	96.35416666666666	96.35416666666666	96.35416666666666	100.0	100.0	100.0	95.83333333333334	95.83333333333334	95.83333333333334	100.0	100.0	100.0	96.35416666666666	96.35416666666666	96.35416666666666	100.0	100.0	100.0	96.35416666666666	96.35416666666666	96.35416666666666
7	100.0	100.0	100.0	97.10982658959537	97.10982658959537	97.10982658959537	100.0	100.0	100.0	97.6878612716763	97.6878612716763	97.6878612716763	100.0	100.0	100.0	97.6878612716763	97.6878612716763	97.6878612716763	100.0	100.0	100.0	91.90751445086705	91.90751445086705	91.90751445086705	99.75186104218362	99.75186104218362	99.75186104218362	97.6878612716763	97.6878612716763	97.6878612716763	100.0	100.0	100.0	98.26589595375722	98.26589595375722	98.26589595375722	91.56327543424318	91.56327543424318	91.56327543424318	91.32947976878613	91.32947976878613	91.32947976878613	98.01488833746899	98.01488833746899	98.01488833746899	96.53179190751445	96.53179190751445	96.53179190751445	97.76674937965261	97.76674937965261	97.76674937965261	96.53179190751445	96.53179190751445	96.53179190751445	100.0	100.0	100.0	95.95375722543352	95.95375722543352	95.95375722543352	100.0	100.0	100.0	94.21965317919076	94.21965317919076	94.21965317919076	100.0	100.0	100.0	96.53179190751445	96.53179190751445	96.53179190751445	100.0	100.0	100.0	95.95375722543352	95.95375722543352	95.95375722543352	100.0	100.0	100.0	98.26589595375722	98.26589595375722	98.26589595375722	100.0	100.0	100.0	97.6878612716763	97.6878612716763	97.6878612716763	99.75186104218362	99.75186104218362	99.75186104218362	94.21965317919076	94.21965317919076	94.21965317919076	100.0	100.0	100.0	97.10982658959537	97.10982658959537	97.10982658959537	100.0	100.0	100.0	98.84393063583815	98.84393063583815	98.84393063583815	100.0	100.0	100.0	95.37572254335261	95.37572254335261	95.37572254335261	100.0	100.0	100.0	98.26589595375722	98.26589595375722	98.26589595375722	100.0	100.0	100.0	98.84393063583815	98.84393063583815	98.84393063583815
8	100.0	100.0	100.0	93.71980676328504	93.71980676328504	93.71980676328504	100.0	100.0	100.0	94.68599033816425	94.68599033816425	94.68599033816425	100.0	100.0	100.0	94.20289855072464	94.20289855072464	94.20289855072464	100.0	100.0	100.0	83.09178743961353	83.09178743961353	83.09178743961353	95.65217391304348	95.65217391304348	95.65217391304348	90.33816425120773	90.33816425120773	90.33816425120773	95.65217391304348	95.65217391304348	95.65217391304348	90.33816425120773	90.33816425120773	90.33816425120773	93.58178053830227	93.58178053830227	93.58178053830227	90.33816425120773	90.33816425120773	90.33816425120773	92.13250517598344	92.13250517598344	92.13250517598344	86.95652173913044	86.95652173913044	86.95652173913044	92.33954451345755	92.33954451345755	92.33954451345755	87.92270531400966	87.92270531400966	87.92270531400966	100.0	100.0	100.0	89.3719806763285	89.3719806763285	89.3719806763285	100.0	100.0	100.0	85.5072463768116	85.5072463768116	85.5072463768116	100.0	100.0	100.0	86.47342995169082	86.47342995169082	86.47342995169082	100.0	100.0	100.0	92.7536231884058	92.7536231884058	92.7536231884058	100.0	100.0	100.0	93.71980676328504	93.71980676328504	93.71980676328504	100.0	100.0	100.0	94.20289855072464	94.20289855072464	94.20289855072464	100.0	100.0	100.0	91.78743961352657	91.78743961352657	91.78743961352657	100.0	100.0	100.0	93.71980676328504	93.71980676328504	93.71980676328504	100.0	100.0	100.0	94.20289855072464	94.20289855072464	94.20289855072464	100.0	100.0	100.0	91.78743961352657	91.78743961352657	91.78743961352657	100.0	100.0	100.0	93.71980676328504	93.71980676328504	93.71980676328504	100.0	100.0	100.0	94.20289855072464	94.20289855072464	94.20289855072464
9	99.54198473282443	99.54198473282443	99.54198473282443	83.98576512455516	83.98576512455516	83.98576512455516	99.69465648854961	99.69465648854961	99.69465648854961	86.83274021352312	86.83274021352312	86.83274021352312	99.69465648854961	99.69465648854961	99.69465648854961	87.54448398576513	87.54448398576513	87.54448398576513	99.54198473282443	99.54198473282443	99.54198473282443	65.12455516014235	65.12455516014235	65.12455516014235	95.72519083969465	95.72519083969465	95.72519083969465	84.69750889679716	84.69750889679716	84.69750889679716	96.03053435114504	96.03053435114504	96.03053435114504	84.69750889679716	84.69750889679716	84.69750889679716	90.68702290076335	90.68702290076335	90.68702290076335	81.85053380782918	81.85053380782918	81.85053380782918	91.90839694656489	91.90839694656489	91.90839694656489	79.7153024911032	79.7153024911032	79.7153024911032	91.7557251908397	91.7557251908397	91.7557251908397	80.42704626334519	80.42704626334519	80.42704626334519	99.69465648854961	99.69465648854961	99.69465648854961	76.86832740213522	76.86832740213522	76.86832740213522	99.69465648854961	99.69465648854961	99.69465648854961	72.59786476868328	72.59786476868328	72.59786476868328	99.69465648854961	99.69465648854961	99.69465648854961	69.7508896797153	69.7508896797153	69.7508896797153	99.69465648854961	99.69465648854961	99.69465648854961	88.61209964412812	88.61209964412812	88.61209964412812	99.69465648854961	99.69465648854961	99.69465648854961	88.61209964412812	88.61209964412812	88.61209964412812	99.69465648854961	99.69465648854961	99.69465648854961	89.32384341637011	89.32384341637011	89.32384341637011	99.69465648854961	99.69465648854961	99.69465648854961	86.47686832740213	86.47686832740213	86.47686832740213	99.69465648854961	99.69465648854961	99.69465648854961	88.96797153024912	88.96797153024912	88.96797153024912	99.69465648854961	99.69465648854961	99.69465648854961	88.96797153024912	88.96797153024912	88.96797153024912	99.69465648854961	99.69465648854961	99.69465648854961	87.18861209964413	87.18861209964413	87.18861209964413	99.69465648854961	99.69465648854961	99.69465648854961	88.96797153024912	88.96797153024912	88.96797153024912	99.69465648854961	99.69465648854961	99.69465648854961	89.6797153024911	89.6797153024911	89.6797153024911
10	99.86168741355463	99.86168741355463	99.86168741355463	90.03215434083602	90.03215434083602	90.03215434083602	99.86168741355463	99.86168741355463	99.86168741355463	91.31832797427653	91.31832797427653	91.31832797427653	99.86168741355463	99.86168741355463	99.86168741355463	91.31832797427653	91.31832797427653	91.31832797427653	99.86168741355463	99.86168741355463	99.86168741355463	83.92282958199357	83.92282958199357	83.92282958199357	95.57399723374827	95.57399723374827	95.57399723374827	87.78135048231512	87.78135048231512	87.78135048231512	95.850622406639	95.850622406639	95.850622406639	87.78135048231512	87.78135048231512	87.78135048231512	92.25449515905947	92.25449515905947	92.25449515905947	89.38906752411575	89.38906752411575	89.38906752411575	89.48824343015215	89.48824343015215	89.48824343015215	83.92282958199357	83.92282958199357	83.92282958199357	89.76486860304288	89.76486860304288	89.76486860304288	84.2443729903537	84.2443729903537	84.2443729903537	99.86168741355463	99.86168741355463	99.86168741355463	87.13826366559485	87.13826366559485	87.13826366559485	99.86168741355463	99.86168741355463	99.86168741355463	81.02893890675242	81.02893890675242	81.02893890675242	99.86168741355463	99.86168741355463	99.86168741355463	81.9935691318328	81.9935691318328	81.9935691318328	99.86168741355463	99.86168741355463	99.86168741355463	92.28295819935691	92.28295819935691	92.28295819935691	99.86168741355463	99.86168741355463	99.86168741355463	92.28295819935691	92.28295819935691	92.28295819935691	99.86168741355463	99.86168741355463	99.86168741355463	94.53376205787781	94.53376205787781	94.53376205787781	99.86168741355463	99.86168741355463	99.86168741355463	91.31832797427653	91.31832797427653	91.31832797427653	99.86168741355463	99.86168741355463	99.86168741355463	92.92604501607717	92.92604501607717	92.92604501607717	99.86168741355463	99.86168741355463	99.86168741355463	94.53376205787781	94.53376205787781	94.53376205787781	99.86168741355463	99.86168741355463	99.86168741355463	91.63987138263666	91.63987138263666	91.63987138263666	99.86168741355463	99.86168741355463	99.86168741355463	92.60450160771704	92.60450160771704	92.60450160771704	99.86168741355463	99.86168741355463	99.86168741355463	94.85530546623794	94.85530546623794	94.85530546623794
11	98.91041162227603	98.91041162227603	98.91041162227603	85.59322033898306	85.59322033898306	85.59322033898306	99.0314769975787	99.0314769975787	99.0314769975787	87.00564971751412	87.00564971751412	87.00564971751412	99.0314769975787	99.0314769975787	99.0314769975787	87.28813559322035	87.28813559322035	87.28813559322035	99.0314769975787	99.0314769975787	99.0314769975787	77.96610169491525	77.96610169491525	77.96610169491525	91.28329297820824	91.28329297820824	91.28329297820824	81.92090395480226	81.92090395480226	81.92090395480226	91.76755447941889	91.76755447941889	91.76755447941889	82.48587570621469	82.48587570621469	82.48587570621469	90.4358353510896	90.4358353510896	90.4358353510896	85.02824858757062	85.02824858757062	85.02824858757062	90.31476997578693	90.31476997578693	90.31476997578693	84.4632768361582	84.4632768361582	84.4632768361582	90.31476997578693	90.31476997578693	90.31476997578693	84.18079096045197	84.18079096045197	84.18079096045197	99.0314769975787	99.0314769975787	99.0314769975787	83.05084745762711	83.05084745762711	83.05084745762711	99.0314769975787	99.0314769975787	99.0314769975787	75.98870056497175	75.98870056497175	75.98870056497175	99.0314769975787	99.0314769975787	99.0314769975787	75.42372881355932	75.42372881355932	75.42372881355932	99.0314769975787	99.0314769975787	99.0314769975787	86.7231638418079	86.7231638418079	86.7231638418079	99.0314769975787	99.0314769975787	99.0314769975787	84.4632768361582	84.4632768361582	84.4632768361582	99.0314769975787	99.0314769975787	99.0314769975787	88.13559322033898	88.13559322033898	88.13559322033898	99.0314769975787	99.0314769975787	99.0314769975787	87.00564971751412	87.00564971751412	87.00564971751412	98.78934624697337	98.78934624697337	98.78934624697337	85.31073446327684	85.31073446327684	85.31073446327684	99.0314769975787	99.0314769975787	99.0314769975787	87.85310734463276	87.85310734463276	87.85310734463276	99.0314769975787	99.0314769975787	99.0314769975787	86.7231638418079	86.7231638418079	86.7231638418079	99.0314769975787	99.0314769975787	99.0314769975787	84.4632768361582	84.4632768361582	84.4632768361582	99.0314769975787	99.0314769975787	99.0314769975787	87.57062146892656	87.57062146892656	87.57062146892656
